date,daily_orders,7_day_avg,30_day_avg,month,month_name,weekday
2017-11-24,1176,454.42857142857144,281.8333333333333,11,November,Friday
2017-11-25,499,476.14285714285717,280.6333333333333,11,November,Saturday
2017-11-26,391,493.57142857142856,281.46666666666664,11,November,Sunday
2017-11-27,403,491.2857142857143,285.06666666666666,11,November,Monday
2017-11-28,380,362.57142857142856,287.93333333333334,11,November,Tuesday
2017-11-29,323,322.14285714285717,288.3666666666667,11,November,Wednesday
2017-12-04,337,264.7142857142857,285.53333333333336,12,December,Monday
2018-01-15,307,261.2857142857143,227.63333333333333,1,January,Monday
2018-01-16,302,260.14285714285717,233.76666666666668,1,January,Tuesday
2018-01-22,314,238.71428571428572,239.7,1,January,Monday
2018-02-26,299,264.2857142857143,244.86666666666667,2,February,Monday
2018-02-27,298,268.7142857142857,246.7,2,February,Tuesday
2018-02-28,313,272.0,246.06666666666666,2,February,Wednesday
2018-03-19,303,255.28571428571428,231.43333333333334,3,March,Monday
2018-05-03,305,252.85714285714286,262.0,5,May,Thursday
2018-05-07,372,285.57142857142856,255.86666666666667,5,May,Monday
2018-05-08,331,283.0,255.83333333333334,5,May,Tuesday
2018-05-09,344,284.42857142857144,250.73333333333332,5,May,Wednesday
2018-05-14,364,280.2857142857143,228.73333333333332,5,May,Monday
2018-05-15,352,278.7142857142857,228.0,5,May,Tuesday
2018-05-16,357,269.0,224.66666666666666,5,May,Wednesday
2018-07-18,307,230.71428571428572,208.23333333333332,7,July,Wednesday
2018-07-23,307,249.28571428571428,229.23333333333332,7,July,Monday
2018-07-31,322,271.57142857142856,265.93333333333334,7,July,Tuesday
2018-08-01,311,281.42857142857144,267.3666666666667,8,August,Wednesday
2018-08-02,302,294.0,270.6666666666667,8,August,Thursday
2018-08-03,314,306.0,269.0,8,August,Friday
2018-08-06,372,311.7142857142857,267.93333333333334,8,August,Monday
2018-08-07,370,303.42857142857144,268.8666666666667,8,August,Tuesday
2018-08-08,316,295.2857142857143,264.8666666666667,8,August,Wednesday
2018-08-14,316,265.42857142857144,236.76666666666668,8,August,Tuesday
2018-08-16,320,267.85714285714283,217.03333333333333,8,August,Thursday
